department,commodity_desc,week_no,weekly_sales_value
DELI,DELI MEATS,1,88.39
DELI,DELI MEATS,2,182.44
DELI,DELI MEATS,3,223.94
DELI,DELI MEATS,4,237.23
DELI,DELI MEATS,5,325.79
DELI,DELI MEATS,6,346.23
DELI,DELI MEATS,7,310.58
DELI,DELI MEATS,8,538.33
DELI,DELI MEATS,9,520.67
DELI,DELI MEATS,10,534.8
DELI,DELI MEATS,11,940.81
DELI,DELI MEATS,12,874.22
DELI,DELI MEATS,13,749.51
DELI,DELI MEATS,14,849.32
DELI,DELI MEATS,15,1008.02
DELI,DELI MEATS,16,1134.42
DELI,DELI MEATS,17,1198.22
DELI,DELI MEATS,18,1222.24
DELI,DELI MEATS,19,1102.96
DELI,DELI MEATS,20,1209.42
DELI,DELI MEATS,21,1149.45
DELI,DELI MEATS,22,1078.9
DELI,DELI MEATS,23,1100.14
DELI,DELI MEATS,24,1224.48
DELI,DELI MEATS,25,1303.27
DELI,DELI MEATS,26,1180.47
DELI,DELI MEATS,27,1041.11
DELI,DELI MEATS,28,1192.73
DELI,DELI MEATS,29,1023.79
DELI,DELI MEATS,30,1091.6
DELI,DELI MEATS,31,988.52
DELI,DELI MEATS,32,1077.56
DELI,DELI MEATS,33,1184.83
DELI,DELI MEATS,34,1163.68
DELI,DELI MEATS,35,981.49
DELI,DELI MEATS,36,918.89
DELI,DELI MEATS,37,1037.25
DELI,DELI MEATS,38,1029.34
DELI,DELI MEATS,39,989.4
DELI,DELI MEATS,40,1228.73
DELI,DELI MEATS,41,1018.83
DELI,DELI MEATS,42,1220.01
DELI,DELI MEATS,43,1137.35
DELI,DELI MEATS,44,1037.66
DELI,DELI MEATS,45,1009.86
DELI,DELI MEATS,46,1154.21
DELI,DELI MEATS,47,1055.93
DELI,DELI MEATS,48,987.81
DELI,DELI MEATS,49,1068.69
DELI,DELI MEATS,50,1183.45
DELI,DELI MEATS,51,1129.71
DELI,DELI MEATS,52,1162.55
DELI,DELI MEATS,53,1077.07
DELI,DELI MEATS,54,1017.21
DELI,DELI MEATS,55,1144.29
DELI,DELI MEATS,56,1157.6
DELI,DELI MEATS,57,1150.49
DELI,DELI MEATS,58,987.19
DELI,DELI MEATS,59,1220.26
DELI,DELI MEATS,60,1183.87
DELI,DELI MEATS,61,1083.47
DELI,DELI MEATS,62,1056.28
DELI,DELI MEATS,63,1408.94
DELI,DELI MEATS,64,1156.13
DELI,DELI MEATS,65,997.46
DELI,DELI MEATS,66,1018.18
DELI,DELI MEATS,67,1373.05
DELI,DELI MEATS,68,1243.28
DELI,DELI MEATS,69,1454.26
DELI,DELI MEATS,70,1394.81
DELI,DELI MEATS,71,1094.3
DELI,DELI MEATS,72,1348.98
DELI,DELI MEATS,73,1421.26
DELI,DELI MEATS,74,1236.39
DELI,DELI MEATS,75,1186.18
DELI,DELI MEATS,76,1130.37
DELI,DELI MEATS,77,1145.33
DELI,DELI MEATS,78,1132.33
DELI,DELI MEATS,79,1033.1
DELI,DELI MEATS,80,1003.14
DELI,DELI MEATS,81,1253.22
DELI,DELI MEATS,82,1035.75
DELI,DELI MEATS,83,1164.45
DELI,DELI MEATS,84,1089.69
DELI,DELI MEATS,85,1290.15
DELI,DELI MEATS,86,1069.65
DELI,DELI MEATS,87,1065.59
DELI,DELI MEATS,88,1024.59
DELI,DELI MEATS,89,1278.92
DELI,DELI MEATS,90,1256.52
DELI,DELI MEATS,91,1123.03
DELI,DELI MEATS,92,1330.65
DELI,DELI MEATS,93,1000.24
DELI,DELI MEATS,94,1153.44
DELI,DELI MEATS,95,1109.21
DELI,DELI MEATS,96,1201.7
DELI,DELI MEATS,97,1160.1
DELI,DELI MEATS,98,1334.16
DELI,DELI MEATS,99,1271.28
DELI,DELI MEATS,100,1025.66
DELI,DELI MEATS,101,1116.3
DELI,DELI MEATS,102,581.19
DELI,DELI SPECIALTIES (RETAIL PK),3,11.97
DELI,DELI SPECIALTIES (RETAIL PK),4,9.87
DELI,DELI SPECIALTIES (RETAIL PK),5,8.75
DELI,DELI SPECIALTIES (RETAIL PK),6,13.38
DELI,DELI SPECIALTIES (RETAIL PK),7,8.04
DELI,DELI SPECIALTIES (RETAIL PK),8,20.55
DELI,DELI SPECIALTIES (RETAIL PK),9,7.99
DELI,DELI SPECIALTIES (RETAIL PK),10,16.9
DELI,DELI SPECIALTIES (RETAIL PK),11,15.48
DELI,DELI SPECIALTIES (RETAIL PK),12,11.87
DELI,DELI SPECIALTIES (RETAIL PK),13,13.14
DELI,DELI SPECIALTIES (RETAIL PK),14,11.56
DELI,DELI SPECIALTIES (RETAIL PK),15,15.05
DELI,DELI SPECIALTIES (RETAIL PK),16,20.9
DELI,DELI SPECIALTIES (RETAIL PK),17,23.15
DELI,DELI SPECIALTIES (RETAIL PK),18,28.18
DELI,DELI SPECIALTIES (RETAIL PK),19,8.76
DELI,DELI SPECIALTIES (RETAIL PK),20,21.27
DELI,DELI SPECIALTIES (RETAIL PK),21,12.21
DELI,DELI SPECIALTIES (RETAIL PK),22,15.48
DELI,DELI SPECIALTIES (RETAIL PK),23,31.32
DELI,DELI SPECIALTIES (RETAIL PK),24,5.59
DELI,DELI SPECIALTIES (RETAIL PK),25,39.98
DELI,DELI SPECIALTIES (RETAIL PK),26,32.46
DELI,DELI SPECIALTIES (RETAIL PK),27,16.35
DELI,DELI SPECIALTIES (RETAIL PK),28,21.49
DELI,DELI SPECIALTIES (RETAIL PK),29,45.0
DELI,DELI SPECIALTIES (RETAIL PK),30,34.07
DELI,DELI SPECIALTIES (RETAIL PK),31,19.97
DELI,DELI SPECIALTIES (RETAIL PK),32,17.96
DELI,DELI SPECIALTIES (RETAIL PK),33,29.84
DELI,DELI SPECIALTIES (RETAIL PK),34,7.06
DELI,DELI SPECIALTIES (RETAIL PK),35,28.11
